Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
Romania,2003,21574326,57806506024,2679.41191,0,675,0,Europe
Russia,2003,144648618,4.30348E+11,2975.125353,79,5258,0.546151087,Asia
Saudi Arabia,2003,22456645,2.15808E+11,9609.968686,0,2049,0,Asia
Singapore,2003,4114826,97645448284,23730.15245,0,1393,0,Asia
Slovakia,2003,5373374,46816589165,8712.698793,0,122,0,Europe
South Africa,2003,46719203,1.9702E+11,4217.11478,3.2,514,0.068494319,Africa
Spain,2003,42187645,9.05492E+11,21463.44266,5967,1347,141.4395139,Europe
Sweden,2003,8958229,3.34337E+11,37321.7979,421,454,46.99589618,Europe
Switzerland,2003,7339001,3.63063E+11,49470.39713,22,136,2.9976832,Europe
Thailand,2003,64549867,1.52281E+11,2359.116831,0,1067.5,0,Asia
Trinidad and Tobago,2003,1283564,11305459802,8807.866068,0,165,0,NAM
Tunisia,2003,9945282,27453007373,2760.405122,19,0,1.91045362,Africa
Turkey,2003,66089402,3.14592E+11,4760.104019,35,713,0.529585666,Europe
Turkmenistan,2003,4655752,5977560877,1283.908782,0,251.0273973,0,Asia
Ukraine,2003,47812949,52010238716,1087.785627,54.4,799,1.137767093,Europe
United Arab Emirates,2003,3711931,1.24346E+11,33499.10278,0,645,0,Asia
United Kingdom,2003,59647577,2.05709E+12,34487.46757,748,1813,12.54032498,Europe
United States,2003,290107933,1.14582E+13,39496.48588,8201,16947,28.26878919,NAM
Uruguay,2003,3323661,12045631093,3624.205685,0,0,0,SAM
Uzbekistan,2003,25567650,10134453435,396.377979,0,232,0,Asia
Venezuela,2003,25551624,83620628582,3272.615024,0,1269,0,SAM
Vietnam,2003,82301650,39552513316,480.5798343,0.406,8,0.004933072,Asia
Algeria,2004,32692153,85332581189,2610.185422,0,442.9729863,0,Africa
Argentina,2004,38491970,1.64658E+11,4277.721573,27.8,620,0.722228558,SAM
Australia,2004,20127400,6.14166E+11,30513.94174,427.412,763,21.23533094,Oceania
Austria,2004,8171966,3.00904E+11,36821.52147,608,200.8219178,74.40070113,Europe
Azerbaijan,2004,8306500,8680370408,1045.009379,0,325,0,Asia
Bahrain,2004,829846,13150159574,15846.50595,0,260,0,Asia
Bangladesh,2004,136986429,65108544250,475.2919302,0,36,0,Asia
Belarus,2004,9730146,23144351852,2378.623286,0,460,0,Europe
Belgium,2004,10421137,3.68537E+11,35364.37533,97,751,9.308005451,Europe
Brazil,2004,184006479,6.69289E+11,3637.31389,24,1925.718,0.13043019,SAM
Bulgaria,2004,7716860,26157894737,3389.707049,1,180,0.129586386,Europe
Canada,2004,31940655,1.02669E+12,32143.68141,458,1915.247372,14.33909229,NAM
Chile,2004,16014972,99210392858,6194.85272,2,238,0.124883141,SAM
China,2004,1296075000,1.95535E+12,1508.668098,861.3,7843.69377,0.664544876,Asia
Colombia,2004,42075953,1.17082E+11,2782.623185,0,325,0,SAM
Costa Rica,2004,4225156,18610594846,4404.711884,234.3,0,55.45357379,NAM
Croatia,2004,4304600,41958833541,9747.440771,0,0,0,Europe
Curacao,2004,134192,0,0,0,320,0,SAM
Czech Republic,2004,10197101,1.19814E+11,11749.85266,0.4,193,0.039226835,Europe
Denmark,2004,5404523,2.51373E+11,46511.59833,3125.7,188,578.3489126,Europe
Ecuador,2004,13596390,36591661000,2691.277685,0,177,0,SAM
